Company,Sales,Close,High,Low,Open,Unix Epoch Time,Volume,Date
Facebook,166.69,166.69,171.68,128.56,128.99,1546318800,527547900,1/1/2019
Facebook,161.45,161.45,172.47,159.59,165.84,1548997200,302243200,2/1/2019
Facebook,166.69,166.69,174.3,159.28,162.6,1551416400,387936100,3/1/2019
Facebook,193.4,193.4,198.48,167.28,167.83,1554091200,381985300,4/1/2019
Facebook,177.47,177.47,196.18,177.16,194.78,1556683200,286821500,5/1/2019
Facebook,193,193,198.88,160.84,175,1559361600,426428600,6/1/2019
Facebook,194.23,194.23,208.66,191.93,195.21,1561953600,351020900,7/1/2019
Facebook,185.67,185.67,198.47,176.66,194.17,1564632000,294689500,8/1/2019
Facebook,178.08,178.08,193.1,175.66,184,1567310400,264538500,9/1/2019
Facebook,191.65,191.65,198.09,173.09,179.15,1569902400,326207200,10/1/2019
Facebook,201.64,201.64,203.8,188.54,192.85,1572580800,258303900,11/1/2019
Facebook,205.25,205.25,208.93,193.17,202.13,1575176400,276257100,12/1/2019
Facebook,201.91,201.91,224.2,201.06,206.75,1577854800,347314600,1/1/2020
Facebook,192.47,192.47,218.77,181.82,203.44,1580533200,317547300,2/1/2020
Facebook,166.8,166.8,197.24,137.1,194.03,1583038800,649467700,3/1/2020
Facebook,204.71,204.71,209.69,150.83,161.62,1585713600,541334600,4/1/2020
Facebook,225.09,225.09,240.9,198.76,201.6,1588305600,509476500,5/1/2020
Facebook,227.07,227.07,245.19,207.11,224.59,1590984000,548043800,6/1/2020
Facebook,253.67,253.67,255.85,226.9,228.5,1593576000,517599700,7/1/2020
Facebook,293.2,293.2,304.67,247.43,252.65,1596254400,574239100,8/1/2020
Facebook,261.9,261.9,303.6,244.13,294.71,1598932800,499115300,9/1/2020
Facebook,263.11,263.11,285.24,254.82,265.35,1601524800,454101600,10/1/2020
Facebook,276.97,276.97,297.38,257.34,264.6,1604203200,356771600,11/1/2020
Facebook,273.16,273.16,291.78,264.63,279.16,1606798800,363901000,12/1/2020
Facebook,258.33,258.33,286.79,244.61,274.78,1609477200,452633100,1/1/2021
Facebook,257.62,257.62,276.6,254.04,259.52,1612155600,317775200,2/1/2021
Facebook,294.53,294.53,299.71,253.5,260.82,1614574800,497416700,3/1/2021
Facebook,325.08,325.08,331.81,296.04,298.4,1617249600,421257700,4/1/2021
Facebook,328.73,328.73,333.78,298.19,326.17,1619841600,353423700,5/1/2021
Facebook,347.71,347.71,358.14,323.48,330.15,1622520000,344810400,6/1/2021
Facebook,356.3,356.3,377.55,334.5,346.82,1625112000,335410800,7/1/2021
Facebook,379.38,379.38,382.76,347.7,358.1,1627790400,226113100,8/1/2021
Facebook,339.39,339.39,384.33,338.15,379.59,1630468800,338109800,9/1/2021
Facebook,323.57,323.57,345.02,308.11,341.61,1633060800,588349400,10/1/2021
Facebook,324.46,324.46,353.83,323.2,326.04,1635739200,441077200,11/1/2021
Facebook,336.35,336.35,352.71,299.5,330.29,1638334800,437900900,12/1/2021
Facebook,331.9,331.9,343.09,315.43,338.3,1641013200,180699700,1/1/2022
Facebook,331.9,331.9,332.73,321.21,321.79,1642194004,16868497,1/14/2022
Google,1116.37,1116.37,1117.33,1014.07,1016.57,1546318800,30714000,1/1/2019
Google,1119.92,1119.92,1147,1086,1112.4,1548997200,28932700,2/1/2019
Google,1173.31,1173.31,1231.79,1123.3,1124.9,1551416400,31609300,3/1/2019
Google,1188.48,1188.48,1289.27,1175,1184.1,1554091200,27855200,4/1/2019
Google,1103.63,1103.63,1190.85,1100.18,1188.05,1556683200,33317400,5/1/2019
Google,1080.91,1080.91,1124.11,1025,1065.5,1559361600,34096800,6/1/2019
Google,1216.68,1216.68,1265.55,1093.7,1098,1561953600,32948600,7/1/2019
Google,1188.1,1188.1,1234.11,1140.14,1214.03,1564632000,28882400,8/1/2019
Google,1219,1219,1248.3,1163.2,1177.03,1567310400,26899400,9/1/2019
Google,1260.11,1260.11,1299.31,1162.43,1219,1569902400,28758300,10/1/2019
Google,1304.96,1304.96,1335.53,1260.5,1265,1572580800,24923700,11/1/2019
Google,1337.02,1337.02,1365,1279,1301,1575176400,27357100,12/1/2019
Google,1434.23,1434.23,1503.21,1341.55,1341.55,1577854800,33691600,1/1/2020
Google,1339.33,1339.33,1532.11,1271,1462,1580533200,37080600,2/1/2020
Google,1162.81,1162.81,1410.15,1013.54,1351.61,1583038800,71392100,3/1/2020
Google,1348.66,1348.66,1359.99,1079.81,1122,1585713600,46335100,4/1/2020
Google,1428.92,1428.92,1441,1299,1328.5,1588305600,31866300,5/1/2020
Google,1413.61,1413.61,1475.94,1347.01,1418.39,1590984000,38828400,6/1/2020
Google,1482.96,1482.96,1586.99,1409.82,1411.1,1593576000,35247000,7/1/2020
Google,1634.18,1634.18,1659.22,1458.65,1486.64,1596254400,37830900,8/1/2020
Google,1469.6,1469.6,1733.18,1406.55,1636.63,1598932800,40567600,9/1/2020
Google,1621.01,1621.01,1687,1436,1484.27,1601524800,39254200,10/1/2020
Google,1760.74,1760.74,1818.06,1616.03,1628.16,1604203200,35035400,11/1/2020
Google,1751.88,1751.88,1847.2,1699,1774.37,1606798800,31465900,12/1/2020
Google,1835.74,1835.74,1934.86,1699,1757.54,1609477200,33082700,1/1/2021
Google,2036.86,2036.86,2152.68,1850.93,1853.57,1612155600,29429000,2/1/2021
Google,2068.63,2068.63,2128.81,2010,2056.52,1614574800,34794200,3/1/2021
Google,2410.12,2410.12,2452.38,2096.89,2097.95,1617249600,30724700,4/1/2021
Google,2411.56,2411.56,2442.94,2230.05,2402.72,1619841600,25455700,5/1/2021
Google,2506.32,2506.32,2555.92,2382.83,2422,1622520000,27432800,6/1/2021
Google,2704.42,2704.42,2800.22,2497,2497,1625112000,22837700,7/1/2021
Google,2909.24,2909.24,2929.79,2683.67,2709.69,1627790400,18615200,8/1/2021
Google,2665.31,2665.31,2936.41,2660,2913,1630468800,25258600,9/1/2021
Google,2965.41,2965.41,2982.36,2623.33,2671.09,1633060800,24828600,10/1/2021
Google,2849.04,2849.04,3037,2841.32,2963.3,1635739200,22157500,11/1/2021
Google,2893.59,2893.59,2992.1,2805,2884.25,1638334800,23954500,12/1/2021
Google,2795.73,2795.73,2932.2,2662.81,2889.51,1641013200,13892800,1/1/2022
Google,2795.73,2795.73,2824.01,2750,2750,1642194002,1191296,1/14/2022
Netflix,339.5,339.5,358.85,256.58,259.28,1546318800,306616400,1/1/2019
Netflix,358.1,358.1,371.49,336.5,337.18,1548997200,148192100,2/1/2019
Netflix,356.56,356.56,379,342.47,362.26,1551416400,144843100,3/1/2019
Netflix,370.54,370.54,384.8,342.27,359,1554091200,165079400,4/1/2019
Netflix,343.28,343.28,385.99,341.39,374,1556683200,125298300,5/1/2019
Netflix,367.32,367.32,375,332.65,343.56,1559361600,111052000,6/1/2019
Netflix,322.99,322.99,384.76,305.81,373.5,1561953600,196652500,7/1/2019
Netflix,293.75,293.75,328.58,287.2,324.25,1564632000,137076700,8/1/2019
Netflix,267.62,267.62,301.55,252.28,290.82,1567310400,175411300,9/1/2019
Netflix,287.41,287.41,308.75,257.01,267.35,1569902400,231556400,10/1/2019
Netflix,314.66,314.66,316.82,281.14,288.7,1572580800,113645900,11/1/2019
Netflix,323.57,323.57,338,292.02,314.39,1575176400,124723600,12/1/2019
Netflix,345.09,345.09,359.85,321.2,326.1,1577854800,169874000,1/1/2020
Netflix,369.03,369.03,392.95,346.28,347.24,1580533200,114056000,2/1/2020
Netflix,375.5,375.5,393.52,290.25,373.11,1583038800,201979100,3/1/2020
Netflix,419.85,419.85,449.52,357.51,376.05,1585713600,225111600,4/1/2020
Netflix,419.73,419.73,458.97,397.86,415.1,1588305600,135055800,5/1/2020
Netflix,455.04,455.04,474.01,404.25,418.83,1590984000,117279900,6/1/2020
Netflix,488.88,488.88,575.37,454,454,1593576000,232206300,7/1/2020
Netflix,529.56,529.56,549.04,466.55,490.86,1596254400,116261900,8/1/2020
Netflix,500.03,500.03,557.39,458.6,532.6,1598932800,118796900,9/1/2020
Netflix,475.74,475.74,572.49,472.21,506.03,1601524800,154302400,10/1/2020
Netflix,490.7,490.7,518.73,463.41,478.87,1604203200,91788900,11/1/2020
Netflix,540.73,540.73,545.5,491.29,492.34,1606798800,77564100,12/1/2020
Netflix,532.39,532.39,593.29,485.67,539,1609477200,139988600,1/1/2021
Netflix,538.85,538.85,566.65,518.28,536.79,1612155600,61902300,2/1/2021
Netflix,521.66,521.66,556.99,492.85,545.57,1614574800,90183900,3/1/2021
Netflix,513.47,513.47,563.56,499,529.93,1617249600,111573300,4/1/2021
Netflix,502.81,502.81,518.95,478.54,512.65,1619841600,66927600,5/1/2021
Netflix,528.21,528.21,536.13,482.14,504.01,1622520000,78560600,6/1/2021
Netflix,517.57,517.57,557.54,504.66,525.72,1625112000,77219000,7/1/2021
Netflix,569.19,569.19,569.48,505.37,519,1627790400,54742300,8/1/2021
Netflix,610.34,610.34,619,568.08,569,1630468800,82314700,9/1/2021
Netflix,690.31,690.31,690.97,594.68,604.24,1633060800,98565000,10/1/2021
Netflix,641.9,641.9,700.99,640.01,689.06,1635739200,64518400,11/1/2021
Netflix,602.44,602.44,654.52,581.74,649.48,1638334800,59968500,12/1/2021
Netflix,525.69,525.69,609.99,511.88,605.61,1641013200,44378600,1/1/2022
Netflix,525.69,525.69,538.37,511.88,517.6,1642194003,7861109,1/14/2022
Tesla,61.4,61.4,70.4,55.86,61.22,1546318800,878260500,1/1/2019
Tesla,63.98,63.98,64.85,57.75,61.08,1548997200,642750500,2/1/2019
Tesla,55.97,55.97,61.43,50.89,61.39,1551416400,1068967500,3/1/2019
Tesla,47.74,47.74,59.23,46.23,56.52,1554091200,1153736500,4/1/2019
Tesla,37.03,37.03,51.67,36.82,47.77,1556683200,1412994000,5/1/2019
Tesla,44.69,44.69,46.95,35.4,37.1,1559361600,1074853000,6/1/2019
Tesla,48.32,48.32,53.21,44.44,46.04,1561953600,996683500,7/1/2019
Tesla,45.12,45.12,48.9,42.2,48.53,1564632000,668953000,8/1/2019
Tesla,48.17,48.17,50.7,43.67,44.82,1567310400,678876500,9/1/2019
Tesla,62.98,62.98,68.17,44.86,48.3,1569902400,1139913000,10/1/2019
Tesla,65.99,65.99,72.24,61.85,63.26,1572580800,788854000,11/1/2019
Tesla,83.67,83.67,87.06,65.45,65.88,1575176400,1035400000,12/1/2019
Tesla,130.11,130.11,130.6,84.34,84.9,1577854800,2036092500,1/1/2020
Tesla,133.6,133.6,193.8,122.3,134.74,1580533200,2362934000,2/1/2020
Tesla,104.8,104.8,161.4,70.1,142.25,1583038800,2104675000,3/1/2020
Tesla,156.38,156.38,173.96,89.28,100.8,1585713600,1907387500,4/1/2020
Tesla,167,167,168.66,136.61,151,1588305600,1363518000,5/1/2020
Tesla,215.96,215.96,217.54,170.82,171.6,1590984000,1278863500,6/1/2020
Tesla,286.15,286.15,359,216.1,216.6,1593576000,1893167500,7/1/2020
Tesla,498.32,498.32,500.14,273,289.84,1596254400,1557378400,8/1/2020
Tesla,429.01,429.01,502.49,329.88,502.14,1598932800,1736284800,9/1/2020
Tesla,388.04,388.04,465.9,379.11,440.76,1601524800,833666400,10/1/2020
Tesla,567.6,567.6,607.8,392.3,394,1604203200,782598800,11/1/2020
Tesla,705.67,705.67,718.72,541.21,597.59,1606798800,1196346000,12/1/2020
Tesla,793.53,793.53,900.4,717.19,719.46,1609477200,705694800,1/1/2021
Tesla,675.5,675.5,880.5,619,814.29,1612155600,522857900,2/1/2021
Tesla,667.93,667.93,721.11,539.49,690.11,1614574800,942452400,3/1/2021
Tesla,709.44,709.44,780.79,659.42,688.37,1617249600,678539700,4/1/2021
Tesla,625.22,625.22,706,546.98,703.8,1619841600,625175800,5/1/2021
Tesla,679.7,679.7,697.62,571.22,627.8,1622520000,519921900,6/1/2021
Tesla,687.2,687.2,700,620.46,683.92,1625112000,448393900,7/1/2021
Tesla,735.72,735.72,740.39,648.84,700,1627790400,381113700,8/1/2021
Tesla,775.48,775.48,799,708.85,734.08,1630468800,390101400,9/1/2021
Tesla,1114,1114,1115.21,763.59,778.4,1633060800,528800500,10/1/2021
Tesla,1144.76,1144.76,1243.49,978.6,1145,1635739200,648671800,11/1/2021
Tesla,1056.78,1056.78,1172.84,886.12,1160.7,1638334800,509895900,12/1/2021
Tesla,1049.61,1049.61,1208,980,1147.75,1641013200,289986700,1/1/2022
Tesla,1049.61,1049.61,1052,1013.38,1019.88,1642194004,24310671,1/14/2022
